,text,Tweet_tokenized,sentiment
0,last session day ,"['last', 'session', 'day']",neutral
1,shanghai also realli excit  precis    skyscrap galore   good tweep china   sh   bj  ,"['shanghai', 'also', 'realli', 'excit', 'precis', 'skyscrap', 'galore', 'good', 'tweep', 'china', 'sh', 'bj']",neutral
2,recess hit veroniqu branquinho  quit company  shame ,"['recess', 'hit', 'veroniqu', 'branquinho', 'quit', 'company', 'shame']",neutral
3,happi bday ,"['happi', 'bday']",neutral
4,   I like it  ,"['I', 'like', 'it']",neutral
5,that  great   weee   visitors ,"['that', 'great', 'weee', 'visitors']",neutral
6,I think everyon hate ME ON here lol,"['I', 'think', 'everyon', 'hate', 'ME', 'ON', 'here', 'lol']",neutral
7,soooooo wish could  im school myspac complet block,"['soooooo', 'wish', 'could', 'im', 'school', 'myspac', 'complet', 'block']",positive
8,within short time last clue,"['within', 'short', 'time', 'last', 'clue']",neutral
9,what get  My day alright   haven t done anyth yet  leav soon stepsist though ,"['what', 'get', 'My', 'day', 'alright', 'haven', 't', 'done', 'anyth', 'yet', 'leav', 'soon', 'stepsist', 'though']",neutral
10,My bike put hold   should known that     argh total bummer,"['My', 'bike', 'put', 'hold', 'should', 'known', 'that', 'argh', 'total', 'bummer']",positive
11,I checked  We didn t win,"['I', 'checked', 'We', 'didn', 't', 'win']",neutral
12,   you r twitter  did tavern bore much ,"['you', 'r', 'twitter', 'did', 'tavern', 'bore', 'much']",neutral
13,i m VA weekend  youngest son turn  tomorrow      it make kinda sad  get big  check twipic,"['i', 'm', 'VA', 'weekend', 'youngest', 'son', 'turn', 'tomorrow', 'it', 'make', 'kinda', 'sad', 'get', 'big', 'check', 'twipic']",neutral
14,it come socket I feel like phone hole virgin  that  loo is       ,"['it', 'come', 'socket', 'I', 'feel', 'like', 'phone', 'hole', 'virgin', 'that', 'loo', 'is']",neutral
15,So hot today     don t like hate new timetable  bad week,"['So', 'hot', 'today', 'don', 't', 'like', 'hate', 'new', 'timetable', 'bad', 'week']",neutral
16,miss,['miss'],neutral
17,cramp      ,['cramp'],neutral
18,guy didn t say hi answer question yesterday nice songs ,"['guy', 'didn', 't', 'say', 'hi', 'answer', 'question', 'yesterday', 'nice', 'songs']",neutral
19,i m go spiritu stagnentation  explod ego   I realise  i m great  i m ok that ,"['i', 'm', 'go', 'spiritu', 'stagnentation', 'explod', 'ego', 'I', 'realise', 'i', 'm', 'great', 'i', 'm', 'ok', 'that']",neutral
20,stupid storm  No river u tonight,"['stupid', 'storm', 'No', 'river', 'u', 'tonight']",neutral
21,My dead grandpa pay attent,"['My', 'dead', 'grandpa', 'pay', 'attent']",neutral
22,    need retail therapy  bad  ahhh     gimm money geebu,"['need', 'retail', 'therapy', 'bad', 'ahhh', 'gimm', 'money', 'geebu']",neutral
23,go sleep,"['go', 'sleep']",neutral
24,lame go make breakfast  ,"['lame', 'go', 'make', 'breakfast']",neutral
25,that cool,"['that', 'cool']",neutral
26,hey peoples  dont hate ground haha  im sat eat appl watch death note  some anime ,"['hey', 'peoples', 'dont', 'hate', 'ground', 'haha', 'im', 'sat', 'eat', 'appl', 'watch', 'death', 'note', 'some', 'anime']",neutral
27,huh  anoth scarepoint code sunday,"['huh', 'anoth', 'scarepoint', 'code', 'sunday']",positive
28,look I found      ,"['look', 'I', 'found']",neutral
29,No ac  fan doesnt swing way     sweat hot humid day,"['No', 'ac', 'fan', 'doesnt', 'swing', 'way', 'sweat', 'hot', 'humid', 'day']",negative
30,guess depend want juri,"['guess', 'depend', 'want', 'juri']",neutral
31,resort eat mickey Ds alone ,"['resort', 'eat', 'mickey', 'Ds', 'alone']",neutral
32,there faux gothi chick look me  sorri I go camden I like pop punk jimmi eat world,"['there', 'faux', 'gothi', 'chick', 'look', 'me', 'sorri', 'I', 'go', 'camden', 'I', 'like', 'pop', 'punk', 'jimmi', 'eat', 'world']",neutral
33,ask twitter id  your sun sign ,"['ask', 'twitter', 'id', 'your', 'sun', 'sign']",neutral
34,where d go ,"['where', 'd', 'go']",neutral
35,watch bodi lies   good film,"['watch', 'bodi', 'lies', 'good', 'film']",neutral
36,happi mother day mumm xoxo,"['happi', 'mother', 'day', 'mumm', 'xoxo']",negative
37,So I realli need put laptop   start get readi shindig   but i v miss twitterlov day,"['So', 'I', 'realli', 'need', 'put', 'laptop', 'start', 'get', 'readi', 'shindig', 'but', 'i', 'v', 'miss', 'twitterlov', 'day']",negative
38,i m sorri least it  friday ,"['i', 'm', 'sorri', 'least', 'it', 'friday']",neutral
39,feel sorri everi time i m print out  I use like  new paper,"['feel', 'sorri', 'everi', 'time', 'i', 'm', 'print', 'out', 'I', 'use', 'like', 'new', 'paper']",neutral
